Cu,Al,Mn,Ni,Co,Zn,Si,Be,Hf,Fe,Ti,V,Mg,Cr,Ag,Nb,Zr,Ms,Mp,Mf,As,Ap,Af,HMA,HAM,Crlrat,Ttemp1,Ttime1,Ttemp2,Ttime2
81.8,13.7,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,290,,276,283,,298,,,0,1173,0.33,0,0
82.8,13.7,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,311,,287,297,,347,,,0,1173,0.33,0,0
83.3,13.7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,322,,292,306,,348,,,0,1173,0.33,0,0
81.3,13.2,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,358,,334,345,,362,,,0,1173,0.33,0,0
81.8,13.2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,369,,345,354,,373,,,0,1173,0.33,0,0
82.3,13.2,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,388,,355,369,,392,,,0,1173,0.33,0,0
82.8,13.2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,395,,367,380,,400,,,0,1173,0.33,0,0
83.3,13.2,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,403,,375,385,,410,,,0,1173,0.33,0,0
76,12.8,9.4,0,0,0,1.8,0,0,0,0,1.8,0,0,0,0,0,,,,108.9,116.6,121.7,,,0,1173,24,0,0
76.2,13.1,8.6,0,0,0,2.1,0,0,0,0,2.1,0,0,0,0,0,158.2,150.9,146.1,168.6,175.3,181.3,,,0,1173,24,0,0
75.4,13.4,8.7,0,0,0,2.5,0,0,0,0,2.5,0,0,0,0,0,169.2,164.3,159.2,184.4,190.7,196.6,,,0,1173,24,0,0
76.3,12.9,6.8,0,0,0,4,0,0,0,0,4,0,0,0,0,0,268.2,263.7,252.7,280.8,290.8,294.4,,,0,1173,24,0,0
75.8,13.4,6.3,0,0,0,4.5,0,0,0,0,4.5,0,0,0,0,0,299.7,296,287.5,322.7,332.3,338.2,,,0,1173,24,0,0
84,11.9,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,503.3,500.9,497.5,504.9,510.5,515.1,2.892,-2.18,0,1173,0.5,0,0
82.94,11.93,0.97,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,511.58,501.49,504,513,519.4,522,2.07,-1.53,0,1173,0.5,0,0
82.92,11.94,0,4.15,0,0,0,0,0,0,0.99,0,0,0,0,0,0,504.74,508.3,498.2,505.3,512.3,515.88,1.42,-0.86,0,1173,0.5,0,0
82.96,11.9,0,4,1.14,0,0,0,0,0,0,0,0,0,0,0,0,521.2,518.4,514.4,522.88,528,532,1.528,-1.32,0,1173,0.5,0,0
85.19,10.21,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,581,,516,689,,751,,,0,1173,6,1173,0.5
84.41,11.17,0,0,0,0,0,0,0,4.42,0,0,0,0,0,0,0,528,,505,668,,723,,,0,1173,6,1173,0.5
83.86,11.56,0,0,0,0,0,0,0,4.58,0,0,0,0,0,0,0,505,,476,584,,644,,,0,1173,6,1173,0.5
83.47,11.91,0,0,0,0,0,0,0,4.62,0,0,0,0,0,0,0,476,,444,473,,500,,,0,1173,6,1173,0.5
84.83,12.57,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,539,,454,683,,718,,,0,1173,6,1173,0.5
86.1,12.58,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,523,,513,561,,645,,,0,1173,6,1173,0.5
85.29,12.6,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0,532,,465,672,,720,,,0,1173,6,1173,0.5
83.05,12.6,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,408,,387,404,,433,,,0,1173,6,1173,0.5
84,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,497,,468,681,,750,,,0,1173,1,0,0
83,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,522,,466,674,,755,,,0,1173,1,0,0
82.5,12.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783,,733,763,,793,,,0,1223,1,0,0
80.5,12.5,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,773,,733,753,,783,,,0,473,2,1193,2
82.5,12.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,,748,763,,783,,,0,473,2,1193,2
80.5,12.5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,813,,798,533,,608,,,0,473,2,1193,2
82.5,12.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,,743,733,,773,,,0,473,2,1193,2
83,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,422.9,,483,598,,650,11.75,,0,1173,1,0,0
82.5,13,0,4,0,0,0,0,0,0,0,0.5,0,0,0,0,0,404.7,,363,442,,452,11.8,,0,1173,1,0,0
82,13,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,471,,453,491,,500,10.16,,0,1173,1,0,0
81.5,13,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,432,,417,469,,478,,,0,1123,24,0,0
79.7,9.1,3,0,0,7.1,1.1,0,0,0,0,0,0,0,0,0,0,289,,274,284,,303,,,0,0,0,0,0
79.5,9,3.4,0,0,7.2,0.9,0,0,0,0,0,0,0,0,0,0,285,,255,270,,293,,,0,0,0,0,0
78.2,9.5,4.2,0,0,7.1,1,0,0,0,0,0,0,0,0,0,0,269,,231,238,,281,,,0,0,0,0,0
79.8,8.7,3.7,0,0,6.9,0.9,0,0,0,0,0,0,0,0,0,0,276,,247,263,,285,,,0,0,0,0,0
79.8,8.9,3.7,0,0,6.7,0.9,0,0,0,0,0,0,0,0,0,0,275,,239,253,,279,,,0,0,0,0,0
79.6,8.9,3.7,0,0,6.7,1.1,0,0,0,0,0,0,0,0,0,0,277,,242,262,,321,,,0,0,0,0,0
79.2,8.8,3.2,0,0,7.7,1.1,0,0,0,0,0,0,0,0,0,0,281,,254,268,,288,,,0,0,0,0,0
79.5,8.7,3.5,0,0,7.2,1.1,0,0,0,0,0,0,0,0,0,0,289,,263,274,,299,,,0,0,0,0,0
49.27,0,0,5.47,0,45.26,0,0,0,0,0,0,0,0,0,0,0,363,,347,368,,411,,,0,1073,6,1073,5
48.59,0,0,5.82,0,45.59,0,0,0,0,0,0,0,0,0,0,0,379,,355,378,,418,,,0,1073,6,1073,5
48.22,0,0,6.15,0,45.63,0,0,0,0,0,0,0,0,0,0,0,385,,361,389,,425,,,0,1073,6,1073,5
47.67,0,0,6.21,0,46.12,0,0,0,0,0,0,0,0,0,0,0,388,,381,391,,416,,,0,1073,6,1073,5
49,0,0,2.96,0,48.04,0,0,0,0,0,0,0,0,0,0,0,384,,359,374,,399,,,0,1073,6,1073,5
49.39,0,0,3.75,0,46.86,0,0,0,0,0,0,0,0,0,0,0,394,,345,389,,416,,,0,1073,6,1073,5
49.62,0,0,4.47,0,45.91,0,0,0,0,0,0,0,0,0,0,0,405,,339,399,,429,,,0,1073,6,1073,5
71.53,4.47,0.23,0.17,0,23.6,0,0,0,0,0,0,0,0,0,0,0,312,,295,278,,276,,,0,1113,0.33,373,0.5
78.83,5.81,0,0,0,14.86,0,0,0,0.5,0,0,0,0,0,0,0,384,,353,381,,407,,,0,1073,5,373,0.08
64.4,0,0,0,0,33.4,2.2,0,0,0,0,0,0,0,0,0,0,283,,263,283,,323,,,0,1083,24,0,0
62.7,0,0,0,0,35.9,1.4,0,0,0,0,0,0,0,0,0,0,218,,203,223,,258,,,0,1083,24,0,0
64.5,0,0,0,0,33.4,2.1,0,0,0,0,0,0,0,0,0,0,288,,268,288,,328,,,0,1083,24,0,0
62.8,0,0,0,0,35.8,1.4,0,0,0,0,0,0,0,0,0,0,223,,198,228,,263,,,0,1083,24,0,0
82.5,11.6,2.7,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,393,,332,360,,411,4.4,,0,453,0.25,0,0
82.5,11.6,2.7,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,391,,335,365,,411,4.6,,0,453,0.5,0,0
82.5,11.6,2.7,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,394,,338,367,,411,4.5,,0,453,1,0,0
